Razão Social,Nome de Pregão,Segmento,Código,Status FRE,File_Path,Segmento_B3,Status ILP
FERTILIZANTES HERINGER S.A.,FER HERINGER,NM,FHER,,,Novo Mercado,
FLEURY S.A.,FLEURY,NM,FLRY,,,Novo Mercado,
GAFISA S.A.,GAFISA,NM,GFSA,,,Novo Mercado,
GETNINJAS S.A.,GETNINJAS,NM,NINJ,,,Novo Mercado,
GPS PARTICIPACOES E EMPREENDIMENTOS S.A.,GPS,NM,GGPS,,,Novo Mercado,
GRENDENE S.A.,GRENDENE,NM,GRND,,,Novo Mercado,
GRUPO CASAS BAHIA S.A.,CASAS BAHIA,NM,BHIA,,,Novo Mercado,
GRUPO DE MODA SOMA S.A.,GRUPO SOMA,NM,SOMA,,,Novo Mercado,
GRUPO MATEUS S.A.,GRUPO MATEUS,NM,GMAT,,,Novo Mercado,
GRUPO SBF SA,GRUPO SBF,NM,SBFG,,,Novo Mercado,
GUARARAPES CONFECCOES S.A.,GUARARAPES,NM,GUAR,,,Novo Mercado,
HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,HAPVIDA,NM,HAPV,,,Novo Mercado,
HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A,HBR REALTY,NM,HBRE,,,Novo Mercado,
HELBOR EMPREENDIMENTOS S.A.,HELBOR,NM,HBOR,,,Novo Mercado,
HIDROVIAS DO BRASIL S.A.,HIDROVIAS,NM,HBSA,,,Novo Mercado,
HOSPITAL MATER DEI S/A,MATER DEI,NM,MATD,,,Novo Mercado,
HYPERA S.A.,HYPERA,NM,HYPE,,,Novo Mercado,
INFRACOMMERCE CXAAS S.A.,INFRACOMM,NM,IFCM,,,Novo Mercado,
INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,INTELBRAS,NM,INTB,,,Novo Mercado,
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,IMC S/A,NM,MEAL,,,Novo Mercado,
IOCHPE MAXION S.A.,IOCHP-MAXION,NM,MYPK,,,Novo Mercado,
IRANI PAPEL E EMBALAGEM S.A.,IRANI,NM,RANI,,,Novo Mercado,
IRB - BRASIL RESSEGUROS S.A.,IRBBRASIL RE,NM,IRBR,,,Novo Mercado,
JALLES MACHADO S.A.,JALLESMACHAD,NM,JALL,,,Novo Mercado,
JBS S.A.,JBS,NM,JBSS,,,Novo Mercado,
JHSF PARTICIPACOES S.A.,JHSF PART,NM,JHSF,,,Novo Mercado,
JSL S.A.,JSL,NM,JSLG,,,Novo Mercado,
KEPLER WEBER S.A.,KEPLER WEBER,NM,KEPL,,,Novo Mercado,
KORA SAÚDE PARTICIPAÇÕES S.A,KORA SAUDE,NM,KRSA,,,Novo Mercado,
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVVI,NM,LAVV,,,Novo Mercado,
LIGHT S.A.,LIGHT S/A,NM,LIGT,,,Novo Mercado,
LIVETECH DA BAHIA INDUSTRIA E COMERCIO S/A,WDC NETWORKS,NM,LVTC,,,Novo Mercado,
LOCALIZA RENT A CAR S.A.,LOCALIZA,NM,RENT,,,Novo Mercado,
LOCAWEB SERVIÇOS DE INTERNET S.A.,LOCAWEB,NM,LWSA,,,Novo Mercado,
LOG COMMERCIAL PROPERTIES,LOG COM PROP,NM,LOGG,,,Novo Mercado,
LOG-IN LOGISTICA INTERMODAL S.A.,LOG-IN,NM,LOGN,,,Novo Mercado,
LOJAS QUERO-QUERO S/A,QUERO-QUERO,NM,LJQQ,,,Novo Mercado,
LOJAS RENNER S.A.,LOJAS RENNER,NM,LREN,,,Novo Mercado,
LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,LOPES BRASIL,NM,LPSB,,,Novo Mercado,
LUPATECH S.A.,LUPATECH,NM,LUPA,,,Novo Mercado,
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,M.DIASBRANCO,NM,MDIA,,,Novo Mercado,
MAGAZINE LUIZA S.A.,MAGAZ LUIZA,NM,MGLU,,,Novo Mercado,
MAHLE-METAL LEVE S.A.,METAL LEVE,NM,LEVE,,,Novo Mercado,
MARFRIG GLOBAL FOODS S.A.,MARFRIG,NM,MRFG,,,Novo Mercado,
MARISA LOJAS S.A.,LOJAS MARISA,NM,AMAR,,,Novo Mercado,
MÉLIUZ S.A.,MELIUZ,NM,CASH,,,Novo Mercado,
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,MELNICK,NM,MELK,,,Novo Mercado,
METALFRIO SOLUTIONS S.A.,METALFRIO,NM,FRIO,,,Novo Mercado,
MILLS LOCAÇÃO. SERVIÇOS E LOGÍSTICA S.A,MILLS,NM,MILS,,,Novo Mercado,
MINERVA S.A.,MINERVA,NM,BEEF,,,Novo Mercado,
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,MITRE REALTY,NM,MTRE,,,Novo Mercado,
MOBLY S.A.,MOBLY,NM,MBLY,,,Novo Mercado,
MOURA DUBEUX ENGENHARIA S/A,MOURA DUBEUX,NM,MDNE,,,Novo Mercado,
MOVIDA PARTICIPACOES SA,MOVIDA,NM,MOVI,,,Novo Mercado,
MPM CORPÓREOS S.A.,ESPACOLASER,NM,ESPA,,,Novo Mercado,
